
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 1, TimeBin=19, Time: 0.0100451, Redshift: 98.5513, Systemstep: 4.50736e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 2, TimeBin=19, Time: 0.0100904, Redshift: 98.1046, Systemstep: 4.52768e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 3, TimeBin=19, Time: 0.0101358, Redshift: 97.6599, Systemstep: 4.54809e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 4, TimeBin=19, Time: 0.0101815, Redshift: 97.2172, Systemstep: 4.56859e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 5, TimeBin=19, Time: 0.0102274, Redshift: 96.7765, Systemstep: 4.58918e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 6, TimeBin=19, Time: 0.0102735, Redshift: 96.3377, Systemstep: 4.60987e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 7, TimeBin=19, Time: 0.0103198, Redshift: 95.901, Systemstep: 4.63064e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 8, TimeBin=19, Time: 0.0103663, Redshift: 95.4662, Systemstep: 4.65152e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 9, TimeBin=19, Time: 0.0104131, Redshift: 95.0333, Systemstep: 4.67248e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 10, TimeBin=19, Time: 0.01046, Redshift: 94.6024, Systemstep: 4.69354e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 11, TimeBin=19, Time: 0.0105071, Redshift: 94.1734, Systemstep: 4.7147e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 12, TimeBin=19, Time: 0.0105545, Redshift: 93.7464, Systemstep: 4.73595e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 13, TimeBin=19, Time: 0.0106021, Redshift: 93.3212, Systemstep: 4.7573e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 14, TimeBin=19, Time: 0.0106499, Redshift: 92.898, Systemstep: 4.77874e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 15, TimeBin=19, Time: 0.0106979, Redshift: 92.4766, Systemstep: 4.80028e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 16, TimeBin=19, Time: 0.0107461, Redshift: 92.0572, Systemstep: 4.82191e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 17, TimeBin=19, Time: 0.0107945, Redshift: 91.6396, Systemstep: 4.84365e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 18, TimeBin=19, Time: 0.0108432, Redshift: 91.224, Systemstep: 4.86548e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 19, TimeBin=19, Time: 0.010892, Redshift: 90.8101, Systemstep: 4.88741e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 20, TimeBin=19, Time: 0.0109411, Redshift: 90.3982, Systemstep: 4.90944e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 21, TimeBin=19, Time: 0.0109905, Redshift: 89.9881, Systemstep: 4.93157e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 22, TimeBin=19, Time: 0.01104, Redshift: 89.5798, Systemstep: 4.9538e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 23, TimeBin=19, Time: 0.0110898, Redshift: 89.1733, Systemstep: 4.97613e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 24, TimeBin=19, Time: 0.0111397, Redshift: 88.7687, Systemstep: 4.99856e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 25, TimeBin=19, Time: 0.0111899, Redshift: 88.3659, Systemstep: 5.02109e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 26, TimeBin=19, Time: 0.0112404, Redshift: 87.9649, Systemstep: 5.04372e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 27, TimeBin=19, Time: 0.0112911, Redshift: 87.5657, Systemstep: 5.06645e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 28, TimeBin=19, Time: 0.0113419, Redshift: 87.1683, Systemstep: 5.08929e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 29, TimeBin=19, Time: 0.0113931, Redshift: 86.7727, Systemstep: 5.11223e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 30, TimeBin=19, Time: 0.0114444, Redshift: 86.3788, Systemstep: 5.13527e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 31, TimeBin=19, Time: 0.011496, Redshift: 85.9868, Systemstep: 5.15842e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 32, TimeBin=19, Time: 0.0115478, Redshift: 85.5964, Systemstep: 5.18167e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

